lambda lambda_ih success
0.0001 0.0000001 6.8965517
0.0001 0.0000002 6.4516129
0.0001 0.0000005 3.125
0.0001 0.000001 2.2222222
0.0001 0.000002 7.1428571
0.0001 0.000005 7.4074074
0.0001 0.00001 6.25
0.0001 0.00002 5.1724138
0.0001 0.00005 2
0.0001 0.0001 3.8461538
0.0001 0.0002 5.2631579
0.0001 0.0005 4.8387097
0.0001 0.001 1.6393443
0.0001 0.002 2.5
0.0001 0.01 3.6363636
0.0001 0.02 3.8461538
0.0001 0.05 6.1538462
0.0001 0.1 7.5471698
0.0001 0.2 10
0.0001 0.5 8.5106383
0.0001 1 4.2857143
0.0001 2 3.0769231
0.0002 0.0000001 10.3448276
0.0002 0.0000002 10.9375
0.0002 0.0000005 6.3829787
0.0002 0.000001 11.4754098
0.0002 0.000002 13.2075472
0.0002 0.000005 20.6349206
0.0002 0.00001 10
0.0002 0.00002 9.8360656
0.0002 0.00005 7.0175439
0.0002 0.0001 6.3492063
0.0002 0.0002 12.7659574
0.0002 0.0005 11.4754098
0.0002 0.001 7.1428571
0.0002 0.002 7.4380165
0.0002 0.005 7.2463768
0.0002 0.01 16.1290323
0.0002 0.02 8.1632653
0.0002 0.05 3.1746032
0.0002 0.1 8.5714286
0.0002 0.2 13.559322
0.0002 0.5 4.8387097
0.0002 1 5.4545455
0.0002 2 10.5263158
0.0002 5 1.6666667
0.0005 0.0000001 14.516129
0.0005 0.0000002 15.2542373
0.0005 0.0000005 12.5
0.0005 0.000001 25
0.0005 0.000002 20
0.0005 0.000005 27.8688525
0.0005 0.00001 27.1428571
0.0005 0.00002 22.4489796
0.0005 0.00005 12.244898
0.0005 0.0001 19.1489362
0.0005 0.0002 18.8679245
0.0005 0.0005 16.9811321
0.0005 0.001 19.0909091
0.0005 0.002 18.1102362
0.0005 0.005 25
0.0005 0.01 22.8070175
0.0005 0.02 13.3333333
0.0005 0.05 18
0.0005 0.1 6.3829787
0.0005 0.2 13.8888889
0.0005 0.5 30.1886792
0.0005 1 17.3076923
0.0005 2 18.1818182
0.001 0.0000001 23.853211
0.001 0.0000002 29.3577982
0.001 0.0000005 32.7868852
0.001 0.000001 30.8270677
0.001 0.000002 28.1818182
0.001 0.000005 36.9747899
0.001 0.00001 40.3669725
0.001 0.00002 34.9593496
0.001 0.00005 37.8640777
0.001 0.0001 25.6637168
0.001 0.0002 25.78125
